"","y.act","y.pred","y.prob.no","y.prob.yes"
"1","no","no",1,0
"2","no","no",1,0
"3","no","no",1,0
"4","no","no",1,0
"5","no","no",1,0
"6","no","no",1,0
"7","no","no",1,0
"8","no","no",1,0
"9","no","no",1,0
"10","no","no",1,0
"11","no","no",1,0
"12","no","no",1,0
"13","no","no",1,0
"14","no","no",1,0
"15","no","no",1,0
"16","no","no",1,0
"17","no","no",1,0
"18","no","no",1,0
"19","no","no",1,0
"20","no","no",1,0
"21","no","no",1,0
"22","no","no",1,0
"23","no","no",1,0
"24","no","no",1,0
"25","no","no",1,0
"26","no","no",1,0
"27","no","no",1,0
"28","no","no",1,0
"29","no","no",1,0
"30","no","no",1,0
"31","no","no",1,0
"32","no","no",1,0
"33","no","no",1,0
"34","no","no",1,0
"35","no","no",1,0
"36","no","no",1,0
"37","no","no",1,0
"38","no","no",1,0
"39","no","no",1,0
"40","no","no",1,0
"41","no","no",1,0
"42","no","no",1,0
"43","no","no",1,0
"44","no","no",1,0
"45","no","no",1,0
"46","no","no",1,0
"47","no","no",1,0
"48","no","no",1,0
"49","no","no",1,0
"50","no","no",1,0
"51","no","no",1,0
"52","no","no",1,0
"53","no","no",1,0
"54","no","no",1,0
"55","no","no",1,0
"56","no","no",1,0
"57","no","no",1,0
"58","no","no",1,0
"59","no","no",1,0
"60","no","no",1,0
"61","no","no",1,0
"62","no","no",1,0
"63","no","no",1,0
"64","no","no",1,0
"65","no","no",1,0
"66","no","no",1,0
"67","no","no",1,0
"68","no","no",1,0
"69","no","no",1,0
"70","no","no",1,0
"71","no","no",1,0
"72","no","no",1,0
"73","no","no",1,0
"74","no","no",1,0
"75","no","no",1,0
"76","no","no",1,0
"77","no","no",1,0
"78","no","no",1,0
"79","no","no",1,0
"80","no","no",1,0
"81","no","no",1,0
"82","no","no",1,0
"83","no","no",1,0
"84","no","no",1,0
"85","no","no",1,0
"86","no","no",1,0
"87","no","no",1,0
"88","no","no",1,0
"89","no","no",1,0
"90","no","no",1,0
"91","no","no",1,0
"92","no","no",1,0
"93","no","no",1,0
"94","no","no",1,0
"95","no","no",1,0
"96","no","no",1,0
"97","no","no",1,0
"98","no","no",1,0
"99","no","no",1,0
"100","no","no",1,0
"101","no","no",1,0
"102","no","no",1,0
"103","no","no",1,0
"104","no","no",1,0
"105","no","no",1,0
"106","no","no",1,0
"107","no","no",1,0
"108","no","no",1,0
"109","no","no",1,0
"110","no","no",1,0
"111","no","no",1,0
"112","no","no",1,0
"113","no","no",1,0
"114","no","no",1,0
"115","no","no",1,0
"116","no","no",1,0
"117","no","no",1,0
"118","no","no",1,0
"119","no","no",1,0
"120","yes","no",1,0
"121","no","no",1,0
"122","no","no",1,0
"123","no","no",1,0
"124","no","no",1,0
"125","no","no",1,0
"126","no","no",1,0
"127","no","no",1,0
"128","no","no",1,0
"129","no","no",1,0
"130","no","no",1,0
"131","no","no",1,0
"132","no","no",1,0
"133","no","no",1,0
"134","no","no",1,0
"135","no","no",1,0
"136","no","no",1,0
"137","no","no",1,0
"138","no","no",1,0
"139","no","no",1,0
"140","no","no",1,0
"141","no","no",1,0
"142","no","no",1,0
"143","no","no",1,0
"144","no","no",1,0
"145","no","no",1,0
"146","no","no",1,0
"147","no","no",1,0
"148","no","no",1,0
"149","no","no",1,0
"150","no","no",1,0
"151","no","no",1,0
"152","no","no",1,0
"153","no","no",1,0
"154","no","no",1,0
"155","no","no",1,0
"156","yes","no",1,0
"157","no","no",1,0
"158","no","no",1,0
"159","no","no",1,0
"160","no","no",1,0
"161","no","no",1,0
"162","no","no",1,0
"163","no","no",1,0
"164","no","no",1,0
"165","no","no",1,0
"166","no","no",1,0
"167","no","no",1,0
"168","no","no",1,0
"169","no","no",1,0
"170","no","no",1,0
"171","no","no",1,0
"172","no","no",1,0
"173","no","no",1,0
"174","no","no",1,0
"175","no","no",1,0
"176","no","no",1,0
"177","no","no",1,0
"178","no","no",1,0
"179","no","no",1,0
"180","no","no",1,0
"181","no","no",1,0
"182","no","no",1,0
"183","no","no",1,0
"184","no","no",1,0
"185","no","no",1,0
"186","no","no",1,0
"187","no","no",1,0
"188","no","no",1,0
"189","no","no",1,0
"190","no","no",1,0
"191","no","no",1,0
"192","no","no",1,0
"193","no","no",1,0
"194","no","no",1,0
"195","no","no",1,0
"196","no","no",1,0
"197","no","no",1,0
"198","no","no",1,0
"199","no","no",1,0
"200","yes","no",1,0
"201","no","no",1,0
"202","no","no",1,0
"203","no","no",1,0
"204","no","no",1,0
"205","no","no",1,0
"206","no","no",1,0
"207","no","no",1,0
"208","no","no",1,0
"209","no","no",1,0
"210","no","no",1,0
"211","no","no",1,0
"212","no","no",1,0
"213","no","no",1,0
"214","no","no",1,0
"215","no","no",1,0
"216","no","no",1,0
"217","no","no",1,0
"218","no","no",1,0
"219","no","no",1,0
"220","no","no",1,0
"221","no","no",1,0
"222","no","no",1,0
"223","no","no",1,0
"224","no","no",1,0
"225","no","no",1,0
"226","no","no",1,0
"227","no","no",1,0
"228","no","no",1,0
"229","no","no",1,0
"230","no","no",1,0
"231","no","no",1,0
"232","no","no",1,0
"233","no","no",1,0
"234","no","no",1,0
"235","no","no",1,0
"236","no","no",1,0
"237","no","no",1,0
"238","no","no",1,0
"239","no","no",1,0
"240","yes","no",1,0
"241","no","no",1,0
"242","no","no",1,0
"243","no","no",1,0
"244","no","no",1,0
"245","yes","no",1,0
"246","no","no",1,0
"247","no","no",1,0
"248","no","no",1,0
"249","no","no",1,0
"250","no","no",1,0
"251","no","no",1,0
"252","no","no",1,0
"253","no","no",1,0
"254","no","no",1,0
"255","no","no",1,0
"256","no","no",1,0
"257","no","no",1,0
"258","no","no",1,0
"259","no","no",1,0
"260","no","no",1,0
"261","no","no",1,0
"262","no","no",1,0
"263","no","no",1,0
"264","no","no",1,0
"265","no","no",1,0
"266","no","no",1,0
"267","no","no",1,0
"268","no","no",1,0
"269","no","no",1,0
"270","no","no",1,0
"271","no","no",1,0
"272","no","no",1,0
"273","no","no",1,0
"274","no","no",1,0
"275","no","no",1,0
"276","no","no",1,0
"277","no","no",1,0
"278","no","no",1,0
"279","no","no",1,0
"280","no","no",1,0
"281","no","no",1,0
"282","no","no",1,0
"283","no","no",1,0
"284","no","no",1,0
"285","no","no",1,0
"286","no","no",1,0
"287","no","no",1,0
"288","no","no",1,0
"289","no","no",1,0
"290","no","no",1,0
"291","no","no",1,0
"292","no","no",1,0
"293","no","no",1,0
"294","no","no",1,0
"295","no","no",1,0
"296","no","no",1,0
"297","no","no",1,0
"298","no","no",1,0
"299","no","no",1,0
"300","no","no",1,0
"301","no","no",1,0
"302","no","no",1,0
"303","no","no",1,0
"304","no","no",1,0
"305","no","no",1,0
"306","no","no",1,0
"307","no","no",1,0
"308","no","no",1,0
"309","no","no",1,0
"310","no","no",1,0
"311","no","no",1,0
"312","no","no",1,0
"313","no","no",1,0
"314","no","no",1,0
"315","no","no",1,0
"316","no","no",1,0
"317","no","no",1,0
"318","no","no",1,0
"319","no","no",1,0
"320","no","no",1,0
"321","no","no",1,0
"322","no","no",1,0
"323","no","no",1,0
"324","no","no",1,0
"325","no","no",1,0
"326","no","no",1,0
"327","no","no",1,0
"328","no","no",1,0
"329","no","no",1,0
"330","no","no",1,0
"331","no","no",1,0
"332","yes","no",1,0
"333","no","no",1,0
"334","no","no",1,0
"335","no","no",1,0
"336","no","no",1,0
"337","no","no",1,0
"338","no","no",1,0
"339","no","no",1,0
"340","no","no",1,0
"341","no","no",1,0
"342","no","no",1,0
"343","no","no",1,0
"344","no","no",1,0
"345","no","no",1,0
"346","no","no",1,0
"347","no","no",1,0
"348","no","no",1,0
"349","no","no",1,0
"350","no","no",1,0
"351","no","no",1,0
"352","no","no",1,0
"353","no","no",1,0
"354","no","no",1,0
"355","no","no",1,0
"356","no","no",1,0
"357","no","no",1,0
"358","yes","no",1,0
"359","no","no",1,0
"360","no","no",1,0
"361","no","no",1,0
"362","no","no",1,0
"363","no","no",1,0
"364","no","no",1,0
"365","no","no",1,0
"366","no","no",1,0
"367","no","no",1,0
"368","no","no",1,0
"369","no","no",1,0
"370","no","no",1,0
"371","yes","no",1,0
"372","no","no",1,0
"373","no","no",1,0
"374","no","no",1,0
"375","yes","no",1,0
"376","no","no",1,0
"377","no","no",1,0
"378","no","no",1,0
"379","no","no",1,0
"380","no","no",1,0
"381","no","no",1,0
"382","no","no",1,0
"383","no","no",1,0
"384","no","no",1,0
"385","no","no",1,0
"386","no","no",1,0
"387","no","no",1,0
"388","no","no",1,0
"389","no","no",1,0
"390","no","no",1,0
"391","no","no",1,0
"392","no","no",1,0
"393","no","no",1,0
"394","no","no",1,0
"395","no","no",1,0
"396","no","no",1,0
"397","no","no",1,0
"398","no","no",1,0
"399","no","no",1,0
"400","no","no",1,0
"401","no","no",1,0
"402","no","no",1,0
"403","no","no",1,0
"404","no","no",1,0
"405","no","no",1,0
