"","y.act","y.pred","y.prob.no","y.prob.yes"
"1","no","no",0.999492576826333,0.000507423173666731
"2","no","no",0.998779306501634,0.00122069349836617
"3","no","no",0.999806926937357,0.000193073062642739
"4","no","no",0.999300944854267,0.000699055145732792
"5","no","no",0.998821038396901,0.00117896160309877
"6","no","no",0.999164061041847,0.000835938958153625
"7","no","no",0.999606981539952,0.000393018460048309
"8","no","no",0.999036345764953,0.000963654235047221
"9","no","no",0.994967649821225,0.00503235017877522
"10","no","no",0.999147292906986,0.000852707093013577
"11","no","no",0.999846979996556,0.000153020003443923
"12","no","no",0.999544681202962,0.000455318797038197
"13","no","no",0.999713634159488,0.000286365840512342
"14","no","no",0.999576267084336,0.00042373291566406
"15","no","no",0.999725099314291,0.000274900685708602
"16","no","no",0.999450035673736,0.000549964326264457
"17","no","no",0.999900205801621,9.9794198378501e-05
"18","no","no",0.999022633183701,0.00097736681629905
"19","no","no",0.998698968717485,0.00130103128251513
"20","no","no",0.998996449335039,0.00100355066496064
"21","no","no",0.99959689812558,0.000403101874420321
"22","no","no",0.999689816880746,0.000310183119254345
"23","no","no",0.998844349705692,0.00115565029430751
"24","no","no",0.998941177408968,0.00105882259103151
"25","no","no",0.999533840329544,0.000466159670456135
"26","no","no",0.999423170919002,0.000576829080997692
"27","no","no",0.999070795612953,0.000929204387047417
"28","no","no",0.999069240530154,0.000930759469846456
"29","no","no",0.998786968532236,0.00121303146776342
"30","no","no",0.99885837588569,0.00114162411431002
"31","no","no",0.99906216766441,0.000937832335589529
"32","no","no",0.999662102816632,0.000337897183368338
"33","no","no",0.997568194451845,0.00243180554815493
"34","no","no",0.997728657856939,0.00227134214306044
"35","no","no",0.996091372983824,0.00390862701617609
"36","no","no",0.999758954632243,0.000241045367756788
"37","no","no",0.999802358052691,0.000197641947308654
"38","no","no",0.997990954953302,0.00200904504669767
"39","no","no",0.99903354665803,0.000966453341970155
"40","no","no",0.999842827144684,0.000157172855316379
"41","no","no",0.999849208804698,0.000150791195301874
"42","no","no",0.999600204510248,0.000399795489752176
"43","no","no",0.999562813786883,0.000437186213117057
"44","no","no",0.999700779497785,0.000299220502215136
"45","no","no",0.999727939242464,0.000272060757536009
"46","no","no",0.998587073730795,0.00141292626920509
"47","no","no",0.999821208675939,0.000178791324061434
"48","no","no",0.998268592107747,0.00173140789225282
"49","no","no",0.999537488544818,0.000462511455181674
"50","no","no",0.998929351911764,0.00107064808823626
"51","no","no",0.999713016031983,0.000286983968016805
"52","no","no",0.998858715317724,0.00114128468227603
"53","no","no",0.99949652934906,0.000503470650940116
"54","no","no",0.99955179192243,0.00044820807756985
"55","no","no",0.998308192895323,0.00169180710467717
"56","no","no",0.998202434121923,0.00179756587807696
"57","no","no",0.998737950419791,0.00126204958020885
"58","no","no",0.997257684249052,0.00274231575094779
"59","no","no",0.999789983348057,0.000210016651942556
"60","no","no",0.999725470931317,0.000274529068683015
"61","no","no",0.999088021267608,0.000911978732392472
"62","no","no",0.99922669291075,0.000773307089250575
"63","no","no",0.999057424921779,0.000942575078220908
"64","no","no",0.998958494339002,0.00104150566099806
"65","no","no",0.998934206523655,0.0010657934763445
"66","no","no",0.999466419937199,0.000533580062800664
"67","no","no",0.999326560661678,0.000673439338322178
"68","no","no",0.999485118796995,0.000514881203004716
"69","no","no",0.999492164486939,0.000507835513060496
"70","no","no",0.998728209309417,0.00127179069058332
"71","no","no",0.99798619857521,0.00201380142478965
"72","no","no",0.999538334797729,0.000461665202270867
"73","no","no",0.999821820717206,0.0001781792827938
"74","no","no",0.999616402643734,0.000383597356266372
"75","no","no",0.999860710355469,0.000139289644531171
"76","no","no",0.998795499194645,0.00120450080535497
"77","no","no",0.99972361563648,0.000276384363519752
"78","no","no",0.999458210436985,0.000541789563015388
"79","no","no",0.998980365194078,0.00101963480592219
"80","no","no",0.998818742168106,0.00118125783189405
"81","no","no",0.999546847496067,0.000453152503933138
"82","no","no",0.999804038872433,0.000195961127566831
"83","no","no",0.999080009287719,0.000919990712280821
"84","no","no",0.999792141868299,0.000207858131701303
"85","no","no",0.997812075155849,0.00218792484415052
"86","no","no",0.999132744913695,0.000867255086305472
"87","no","no",0.999606154579153,0.000393845420846783
"88","no","no",0.999670058850508,0.000329941149491825
"89","no","no",0.999693487746357,0.000306512253642742
"90","no","no",0.999415397822505,0.000584602177494745
"91","no","no",0.998747540108231,0.00125245989176889
"92","no","no",0.998765149171454,0.00123485082854576
"93","no","no",0.999552533869069,0.000447466130931185
"94","no","no",0.999751660872363,0.000248339127636904
"95","no","no",0.999474062576146,0.000525937423854119
"96","no","no",0.999782070730818,0.000217929269182283
"97","no","no",0.99964599911685,0.00035400088314996
"98","no","no",0.998986986049279,0.0010130139507208
"99","no","no",0.99940512303726,0.000594876962739797
"100","no","no",0.999109648689781,0.000890351310219048
"101","no","no",0.999900536304625,9.94636953748353e-05
"102","no","no",0.998705604139298,0.0012943958607022
"103","no","no",0.999525750232146,0.000474249767854017
"104","no","no",0.998135326643536,0.00186467335646422
"105","no","no",0.999392349066335,0.00060765093366479
"106","no","no",0.999172103928525,0.0008278960714747
"107","no","no",0.999836645125991,0.000163354874009154
"108","no","no",0.999228734701917,0.000771265298083345
"109","no","no",0.999828519377629,0.000171480622371477
"110","no","no",0.999660806583038,0.000339193416962159
"111","no","no",0.998937399360634,0.00106260063936647
"112","no","no",0.999183875501203,0.000816124498796838
"113","no","no",0.998229901563258,0.0017700984367422
"114","no","no",0.999237903631932,0.000762096368068264
"115","no","no",0.99883600833478,0.00116399166521991
"116","no","no",0.997517091766661,0.00248290823333854
"117","no","no",0.999172267610827,0.00082773238917291
"118","no","no",0.999069515858521,0.000930484141479041
"119","no","no",0.999887447306732,0.000112552693268088
"120","yes","no",0.999309997861559,0.0006900021384408
"121","no","no",0.99959744494359,0.000402555056409615
"122","no","no",0.998988037330968,0.00101196266903167
"123","no","no",0.999734570962158,0.000265429037842241
"124","no","no",0.999862768464469,0.00013723153553079
"125","no","no",0.998609231929104,0.00139076807089561
"126","no","no",0.993925505952834,0.00607449404716555
"127","no","no",0.999778988300332,0.000221011699668162
"128","no","no",0.998358344556462,0.00164165544353802
"129","no","no",0.999783688013125,0.000216311986874778
"130","no","no",0.999693488923505,0.000306511076494943
"131","no","no",0.999738118861124,0.000261881138876074
"132","no","no",0.999806022886143,0.000193977113857567
"133","no","no",0.998640560630943,0.00135943936905708
"134","no","no",0.999852371123028,0.000147628876972027
"135","no","no",0.99939972051698,0.000600279483020026
"136","no","no",0.99954884522756,0.000451154772439543
"137","no","no",0.998420099837487,0.00157990016251328
"138","no","no",0.999008983385991,0.000991016614009106
"139","no","no",0.999800688396986,0.000199311603013833
"140","no","no",0.999344797257211,0.00065520274278925
"141","no","no",0.999590865184887,0.000409134815113307
"142","no","no",0.999051452193751,0.000948547806249067
"143","no","no",0.998938350470212,0.00106164952978845
"144","no","no",0.999830554207069,0.0001694457929307
"145","no","no",0.999581429739123,0.000418570260877419
"146","no","no",0.999595494118473,0.000404505881527162
"147","no","no",0.999348607638069,0.000651392361931046
"148","no","no",0.999672202545188,0.000327797454812113
"149","no","no",0.999116760104293,0.000883239895706715
"150","no","no",0.997595523303312,0.00240447669668824
"151","no","no",0.99876778501716,0.00123221498283957
"152","no","no",0.999734220741208,0.000265779258792063
"153","no","no",0.999870640647974,0.000129359352025978
"154","no","no",0.999744283985121,0.000255716014878775
"155","no","no",0.999670369683614,0.000329630316385834
"156","yes","no",0.999762927624967,0.000237072375032724
"157","no","no",0.99870874070337,0.00129125929663001
"158","no","no",0.998808891687934,0.00119110831206554
"159","no","no",0.999651182534514,0.000348817465486015
"160","no","no",0.999748167252214,0.000251832747785782
"161","no","no",0.999018756080063,0.000981243919936915
"162","no","no",0.998956726576118,0.00104327342388166
"163","no","no",0.998992354717437,0.00100764528256353
"164","no","no",0.998902040487674,0.0010979595123256
"165","no","no",0.999188418731712,0.000811581268287735
"166","no","no",0.999771692911139,0.000228307088860992
"167","no","no",0.998980283890496,0.00101971610950363
"168","no","no",0.999777599484847,0.000222400515152444
"169","no","no",0.999255617735628,0.000744382264372225
"170","no","no",0.999316557686765,0.000683442313234605
"171","no","no",0.999157492220563,0.000842507779436487
"172","no","no",0.999798165010504,0.000201834989496135
"173","no","no",0.999426217752754,0.000573782247245911
"174","no","no",0.999815106711297,0.000184893288703055
"175","no","no",0.999019232283809,0.000980767716191155
"176","no","no",0.998581753051936,0.0014182469480643
"177","no","no",0.998680096992377,0.00131990300762267
"178","no","no",0.999348839391762,0.000651160608238147
"179","no","no",0.99794534209766,0.00205465790233957
"180","no","no",0.999554098505779,0.000445901494221194
"181","no","no",0.997879513781316,0.00212048621868415
"182","no","no",0.999719673909603,0.000280326090396584
"183","no","no",0.999178376449088,0.000821623550911963
"184","no","no",0.999336913623356,0.000663086376643944
"185","no","no",0.99926177923322,0.000738220766780342
"186","no","no",0.999763664146825,0.000236335853175352
"187","no","no",0.999145539761808,0.000854460238192407
"188","no","no",0.999591334223016,0.000408665776983989
"189","no","no",0.999284194853824,0.000715805146175903
"190","no","no",0.998814854211236,0.00118514578876453
"191","no","no",0.999211868176806,0.000788131823193703
"192","no","no",0.999258281597185,0.000741718402814789
"193","no","no",0.999293000235216,0.000706999764784057
"194","no","no",0.999620902752913,0.000379097247087101
"195","no","no",0.998867099278312,0.00113290072168755
"196","no","no",0.999858196260611,0.000141803739389092
"197","no","no",0.999583714964715,0.000416285035285015
"198","no","no",0.999177334677175,0.000822665322825444
"199","no","no",0.999251244266173,0.000748755733826696
"200","yes","no",0.999708928256944,0.000291071743056004
"201","no","no",0.99955068605062,0.000449313949379581
"202","no","no",0.999610033548906,0.00038996645109362
"203","no","no",0.999655642628865,0.000344357371134703
"204","no","no",0.999894650510955,0.000105349489045069
"205","no","no",0.999817124873103,0.000182875126896513
"206","no","no",0.998762127117681,0.00123787288231908
"207","no","no",0.998618466566028,0.00138153343397173
"208","no","no",0.998579366307696,0.0014206336923041
"209","no","no",0.998940013027236,0.00105998697276382
"210","no","no",0.999590368508543,0.000409631491457122
"211","no","no",0.998377944902377,0.00162205509762308
"212","no","no",0.999328911335849,0.000671088664151142
