"","y.act","y.pred","y.prob.no","y.prob.yes"
"1","no","no",0.980711693335303,0.0192883066646967
"2","no","no",0.954792735737997,0.0452072642620033
"3","no","no",0.992574415484651,0.00742558451534895
"4","no","no",0.97361456695433,0.02638543304567
"5","no","no",0.956272401566332,0.0437275984336684
"6","no","no",0.968605979938025,0.0313940200619749
"7","no","no",0.98499691520813,0.0150030847918702
"8","no","no",0.96397789838302,0.0360221016169802
"9","no","no",0.836162092383893,0.163837907616107
"10","no","no",0.967995879809046,0.0320041201909545
"11","no","no",0.994106010035402,0.00589398996459838
"12","no","no",0.982658839538356,0.0173411604616437
"13","no","no",0.989024741029026,0.0109752589709739
"14","no","no",0.983842876845611,0.0161571231543886
"15","no","no",0.990016924937297,0.00998307506270257
"16","no","no",0.979127488942935,0.0208725110570648
"17","no","no",0.996148457209001,0.00385154279099888
"18","no","no",0.963483546717327,0.0365164532826725
"19","no","no",0.954405489627641,0.0455945103723585
"20","no","no",0.962540963379822,0.0374590366201782
"21","no","no",0.984617759155103,0.0153822408448969
"22","no","no",0.988749657943806,0.0112503420561937
"23","no","no",0.957100882506784,0.0428991174932161
"24","no","no",0.960557130042388,0.0394428699576118
"25","no","no",0.98225309493306,0.0177469050669397
"26","no","no",0.978129627917817,0.021870372082183
"27","no","no",0.965222029303891,0.0347779706961091
"28","no","no",0.965165801277456,0.0348341987225444
"29","no","no",0.955064070300077,0.044935929699923
"30","no","no",0.957600044572889,0.042399955427111
"31","no","no",0.966721736000379,0.0332782639996215
"32","no","no",0.987074619029394,0.0129253809706062
"33","no","no",0.913710692703333,0.0862893072966672
"34","no","no",0.918954973380367,0.0810450266196333
"35","no","no",0.874204633494176,0.125795366505824
"36","no","no",0.990746034957771,0.00925396504222852
"37","no","no",0.992802950056327,0.00719704994367302
"38","no","no",0.927654526739159,0.072345473260841
"39","no","no",0.963876947801949,0.0361230521980512
"40","no","no",0.993946994661473,0.00605300533852719
"41","no","no",0.994191372973231,0.00580862702676888
"42","no","no",0.984742054343441,0.0152579456565594
"43","no","no",0.983338223207538,0.016661776792462
"44","no","no",0.988537574583489,0.0114624254165107
"45","no","no",0.989567425641883,0.0104325743581167
"46","no","no",0.950672297468589,0.0493277025314109
"47","no","no",0.993120009284323,0.0068799907156769
"48","no","no",0.940200318694368,0.0597996813056319
"49","no","no",0.980212937264045,0.0197870627359552
"50","no","no",0.962182240291753,0.0378177597082467
"51","no","no",0.989001304507609,0.0109986954923913
"52","no","no",0.957612130519416,0.0423878694805841
"53","no","no",0.980859136122491,0.0191408638775087
"54","no","no",0.983822272448565,0.0161777275514346
"55","no","no",0.938392609697592,0.0616073903024079
"56","no","no",0.934786059545961,0.0652139404540389
"57","no","no",0.953330783968307,0.0466692160316932
"58","no","no",0.903726029676855,0.0962739703231448
"59","no","no",0.99235568104142,0.00764431895857975
"60","no","no",0.98947374518325,0.0105262548167496
"61","no","no",0.967610227417963,0.0323897725820367
"62","no","no",0.970891443932101,0.0291085560678994
"63","no","no",0.964738785681994,0.035261214318006
"64","no","no",0.961177816837628,0.038822183162372
"65","no","no",0.96234743592998,0.0376525640700199
"66","no","no",0.979737037660761,0.0202629623392388
"67","no","no",0.974557456579424,0.0254425434205761
"68","no","no",0.978020581746248,0.0219794182537518
"69","no","no",0.980696314133975,0.0193036858660253
"70","no","no",0.955385752199372,0.0446142478006285
"71","no","no",0.931100634713483,0.0688993652865174
"72","no","no",0.982421271135191,0.0175787288648089
"73","no","no",0.993143403660506,0.00685659633949358
"74","no","no",0.986122866981563,0.0138771330184364
"75","no","no",0.994632107302612,0.00536789269738821
"76","no","no",0.950019507039294,0.0499804929607062
"77","no","no",0.98996357088901,0.0100364291109895
"78","no","no",0.980508562259407,0.0194914377405931
"79","no","no",0.963920908722378,0.0360790912776216
"80","no","no",0.958433221528703,0.0415667784712967
"81","no","no",0.980605742529385,0.0193942574706144
"82","no","no",0.992863731539356,0.00713626846064382
"83","no","no",0.96733471603704,0.0326652839629599
"84","no","no",0.992433669972069,0.00756633002793071
"85","no","no",0.925574538927409,0.0744254610725909
"86","no","no",0.969150964837168,0.0308490351628316
"87","no","no",0.985757266242482,0.0142427337575181
"88","no","no",0.988041370311797,0.0119586296882026
"89","no","no",0.988881360250443,0.0111186397495569
"90","no","no",0.978999797414308,0.0210002025856922
"91","no","no",0.95603487332894,0.04396512667106
"92","no","no",0.956626925496141,0.0433730745038587
"93","no","no",0.971630560974434,0.0283694390255664
"94","no","no",0.970458726995542,0.029541273004458
"95","no","no",0.977558958900978,0.0224410410990219
"96","no","no",0.992069894249575,0.00793010575042494
"97","no","no",0.987180206132844,0.0128197938671565
"98","no","no",0.9641470128329,0.0358529871670998
"99","no","no",0.974690145476986,0.0253098545230143
"100","no","no",0.968354700943242,0.0316452990567574
"101","no","no",0.995679194512173,0.00432080548782666
"102","no","no",0.954627764273859,0.0453722357261408
"103","no","no",0.979720701903594,0.0202792980964065
"104","no","no",0.935884631272381,0.064115368727619
"105","no","no",0.978189401054207,0.0218105989457931
"106","no","no",0.971222393951244,0.0287776060487564
"107","no","no",0.994191372973231,0.00580862702676888
"108","no","no",0.976075263264858,0.0239247367351415
"109","no","no",0.994583040803992,0.00541695919600822
"110","no","no",0.98933980335818,0.0106601966418202
"111","no","no",0.967324010216098,0.0326759897839022
"112","no","no",0.974717799057889,0.0252822009421115
"113","no","no",0.946691053415173,0.053308946584827
"114","no","no",0.976353170641981,0.0236468293580186
"115","no","no",0.966155194471266,0.0338448055287338
"116","no","no",0.926746831126348,0.073253168873652
"117","no","no",0.974367132769741,0.025632867230259
"118","no","no",0.971273687822488,0.0287263121775123
"119","no","no",0.994017854692285,0.00598214530771523
"120","yes","no",0.978543671921991,0.0214563280780089
"121","no","no",0.985803188329147,0.0141968116708532
"122","no","no",0.970449383730377,0.0295506162696231
"123","no","no",0.991639303886867,0.00836069611313285
"124","no","no",0.995660399563584,0.00433960043641629
"125","no","no",0.957646496309718,0.0423535036902818
"126","no","no",0.83746467733392,0.16253532266608
"127","no","no",0.993028950710878,0.0069710492891217
"128","no","no",0.950373368146973,0.0496266318530271
"129","no","no",0.993176207208701,0.00682379279129924
"130","no","no",0.989154640397193,0.0108453596028072
"131","no","no",0.991750165521923,0.00824983447807699
"132","no","no",0.993876606102728,0.00612339389727192
"133","no","no",0.958562269995898,0.0414377300041017
"134","no","no",0.995581228094006,0.00441877190599406
"135","no","no",0.981283114395219,0.0187168856047808
"136","no","no",0.985869229917474,0.0141307700825257
"137","no","no",0.952153698660197,0.0478463013398025
"138","no","no",0.969460178073213,0.0305398219267874
"139","no","no",0.993709235016412,0.00629076498358838
"140","no","no",0.977091531603437,0.0229084683965629
"141","no","no",0.987168995730042,0.0128310042699575
"142","no","no",0.970731826468075,0.0292681735319247
"143","no","no",0.969041886747796,0.0309581132522041
"144","no","no",0.994646986466684,0.00535301353331536
"145","no","no",0.986876848739643,0.0131231512603569
"146","no","no",0.987312381302853,0.0126876186971469
"147","no","no",0.979720701903594,0.0202792980964065
"148","no","no",0.989694381767991,0.0103056182320092
