"","true","pred","no","yes"
"1","no","no",0.925839580621218,0.0741604193787824
"2","no","no",0.906975548685807,0.093024451314193
"3","no","no",0.903689748115598,0.0963102518844022
"4","no","no",0.924733249172046,0.0752667508279536
"5","no","no",0.894295209596062,0.105704790403938
"6","no","no",0.920400841552759,0.0795991584472408
"7","no","no",0.796049459863613,0.203950540136387
"8","no","no",0.930508883506129,0.0694911164938718
"9","no","no",0.874168921083268,0.125831078916732
"10","no","no",0.936319640949445,0.0636803590505552
"11","no","no",0.891445559451067,0.108554440548933
"12","no","no",0.893117331935116,0.106882668064884
"13","no","no",0.893289839963767,0.106710160036234
"14","no","no",0.793422389521278,0.206577610478722
"15","no","no",0.937292266540412,0.0627077334595882
"16","no","no",0.919542972737885,0.080457027262115
"17","no","no",0.842695058047043,0.157304941952958
"18","no","no",0.878725040251073,0.121274959748926
"19","no","no",0.850860593169142,0.149139406830859
"20","no","no",0.909573597261228,0.0904264027387718
"21","no","no",0.908780428952178,0.091219571047822
"22","no","no",0.9372782375208,0.0627217624792003
"23","no","no",0.910223073727381,0.0897769262726194
"24","no","no",0.865233635759453,0.134766364240547
"25","no","no",0.917543542908105,0.0824564570918951
"26","no","no",0.796275202631152,0.203724797368848
"27","no","no",0.761257731319805,0.238742268680195
"28","no","no",0.920549708074998,0.0794502919250023
"29","no","no",0.884251784547295,0.115748215452706
"30","no","no",0.880392729399024,0.119607270600976
"31","no","no",0.929414012481034,0.0705859875189661
"32","no","no",0.823647775810681,0.176352224189319
"33","no","no",0.936789531956951,0.0632104680430495
"34","no","no",0.853687051379386,0.146312948620615
"35","no","no",0.930596156390861,0.0694038436091389
"36","no","no",0.779396398620452,0.220603601379549
"37","no","no",0.931056298792898,0.0689437012071021
"38","no","no",0.87358743690767,0.12641256309233
"39","no","no",0.773622461546026,0.226377538453974
"40","no","no",0.911686658172304,0.088313341827696
"41","no","no",0.845367150530778,0.154632849469223
"42","no","no",0.84382091016329,0.15617908983671
"43","no","no",0.896429426617674,0.103570573382327
"44","no","no",0.870621150667591,0.129378849332409
"45","no","no",0.878887070348482,0.121112929651519
"46","no","no",0.85187269881239,0.148127301187611
"47","no","no",0.941571758903997,0.0584282410960025
"48","no","no",0.904709710317542,0.0952902896824579
"49","no","no",0.902190098292952,0.0978099017070483
"50","no","no",0.803751658489159,0.196248341510841
"51","no","no",0.897094987466209,0.102905012533791
"52","no","no",0.897997055840767,0.102002944159233
"53","no","no",0.864368681669503,0.135631318330497
"54","no","no",0.858553701205747,0.141446298794254
"55","no","no",0.913122059423279,0.0868779405767207
"56","no","no",0.92226940327096,0.07773059672904
"57","no","no",0.89948326504561,0.100516734954389
"58","no","no",0.786553719014628,0.213446280985372
"59","no","no",0.899117061016826,0.100882938983175
"60","no","no",0.789803602849023,0.210196397150978
"61","no","no",0.835158586291659,0.164841413708341
"62","no","no",0.927082725472323,0.0729172745276772
"63","no","no",0.920038732437678,0.0799612675623219
"64","no","no",0.912919690974476,0.0870803090255241
"65","no","no",0.933019808199117,0.0669801918008835
"66","no","no",0.890039864407237,0.109960135592763
"67","no","no",0.77791942022594,0.22208057977406
"68","no","no",0.924414718139297,0.0755852818607034
"69","no","no",0.906481592280502,0.093518407719498
"70","no","no",0.934892772991038,0.0651072270089625
"71","no","no",0.905691264705541,0.0943087352944587
"72","no","no",0.883167911995369,0.116832088004631
"73","no","no",0.880786140389767,0.119213859610234
"74","no","no",0.874856290198231,0.125143709801769
"75","no","no",0.892707039359639,0.107292960640362
"76","no","no",0.907801346190979,0.0921986538090216
"77","no","no",0.943201081222276,0.0567989187777239
"78","no","no",0.91554511117646,0.0844548888235397
"79","no","no",0.904436526298788,0.0955634737012121
"80","no","no",0.92669913998277,0.0733008600172302
"81","no","no",0.921983853885035,0.0780161461149651
"82","no","no",0.944544644725595,0.0554553552744049
"83","no","no",0.843672713163012,0.156327286836989
"84","no","no",0.91458371747205,0.0854162825279505
"85","no","no",0.891977282920079,0.108022717079922
"86","no","no",0.919067813760719,0.0809321862392816
"87","no","no",0.861167321419616,0.138832678580385
"88","no","no",0.937464336594954,0.0625356634050463
"89","no","no",0.872758261293479,0.127241738706521
"90","no","no",0.840894169380858,0.159105830619142
"91","no","no",0.870791201075055,0.129208798924944
"92","no","no",0.875250057350154,0.124749942649846
"93","no","no",0.882315315030662,0.117684684969339
"94","no","no",0.914354757147179,0.0856452428528216
"95","no","no",0.887605581397319,0.112394418602681
"96","no","no",0.853127040838664,0.146872959161336
"97","no","no",0.860160519964957,0.139839480035043
"98","no","no",0.866055969554351,0.133944030445649
"99","no","no",0.928969259327979,0.0710307406720214
"100","no","no",0.925364841600454,0.0746351583995459
"101","no","no",0.941567444457026,0.0584325555429737
"102","no","no",0.818780934865036,0.181219065134964
"103","no","no",0.907074574829363,0.0929254251706375
"104","no","no",0.833326701961714,0.166673298038286
"105","no","no",0.91570175391005,0.0842982460899506
"106","no","no",0.870559250305437,0.129440749694563
"107","no","no",0.945780892839661,0.054219107160339
"108","no","no",0.828099691620248,0.171900308379752
"109","no","no",0.868908810504226,0.131091189495774
"110","no","no",0.888603436598324,0.111396563401676
"111","no","no",0.862243301867846,0.137756698132154
"112","no","no",0.848586512126442,0.151413487873558
"113","no","no",0.88859375462171,0.111406245378291
"114","no","no",0.771304033040869,0.228695966959132
"115","no","no",0.889632225146481,0.11036777485352
"116","no","no",0.856838506552089,0.143161493447911
"117","no","no",0.929636659677317,0.0703633403226842
"118","no","no",0.79556204609495,0.20443795390505
"119","no","no",0.931339795479034,0.0686602045209663
"120","yes","no",0.823973255438553,0.176026744561447
"121","no","no",0.933208770627746,0.066791229372254
"122","no","no",0.855039725956382,0.144960274043618
"123","no","no",0.939604923286187,0.0603950767138127
"124","no","no",0.871805404705019,0.128194595294982
"125","no","no",0.907361439848865,0.0926385601511348
"126","no","no",0.859658811365818,0.140341188634182
"127","no","no",0.900701344897388,0.0992986551026126
"128","no","no",0.834130646028342,0.165869353971658
"129","no","no",0.930704985855084,0.0692950141449163
"130","no","no",0.943108009306388,0.0568919906936117
"131","no","no",0.922454698360083,0.077545301639917
"132","no","no",0.914885777130812,0.0851142228691882
"133","no","no",0.802259110024228,0.197740889975772
"134","no","no",0.929483540810596,0.0705164591894041
"135","no","no",0.923938789408049,0.0760612105919515
"136","no","no",0.935454237933633,0.064545762066367
"137","no","no",0.907254651983979,0.0927453480160214
"138","no","no",0.742892299350524,0.257107700649477
"139","no","no",0.898078712144347,0.101921287855654
"140","no","no",0.913068899430465,0.0869311005695361
"141","no","no",0.90052754220249,0.0994724577975105
