"","y.act","y.pred","no","yes"
"1","no","no",0.892466250437231,0.107533749562769
"2","no","no",0.810978609207203,0.189021390792797
"3","no","no",0.874129248891354,0.125870751108646
"4","no","no",0.854749935438054,0.145250064561945
"5","no","no",0.88167911014347,0.11832088985653
"6","no","no",0.842103460776378,0.157896539223622
"7","no","no",0.772132541770052,0.227867458229948
"8","no","no",0.855934668257269,0.144065331742731
"9","no","no",0.794941153197974,0.205058846802026
"10","no","no",0.885711242611158,0.114288757388842
"11","no","no",0.8530856555476,0.1469143444524
"12","no","no",0.884719981227696,0.115280018772305
"13","no","no",0.905420314481213,0.094579685518787
"14","no","no",0.827593033855924,0.172406966144076
"15","no","no",0.899154265671209,0.100845734328792
"16","no","no",0.8815803374868,0.1184196625132
"17","no","no",0.846337981984869,0.153662018015131
"18","no","no",0.868679853105427,0.131320146894573
"19","no","no",0.806867200438356,0.193132799561645
"20","no","no",0.82065255101623,0.179347448983771
"21","no","no",0.881172514836694,0.118827485163307
"22","no","no",0.888577529578173,0.111422470421827
"23","no","no",0.874943258595159,0.125056741404841
"24","no","no",0.816356318486488,0.183643681513512
"25","no","no",0.892576084282759,0.107423915717241
"26","no","no",0.79741217907959,0.20258782092041
"27","no","no",0.80161758412515,0.19838241587485
"28","no","no",0.863189934196847,0.136810065803153
"29","no","no",0.864625222465486,0.135374777534514
"30","no","no",0.873503101234025,0.126496898765976
"31","no","no",0.90122947755974,0.0987705224402596
"32","no","no",0.731364380753854,0.268635619246146
"33","no","no",0.772782350922434,0.227217649077566
"34","no","no",0.811606057871805,0.188393942128195
"35","no","no",0.884524587139642,0.115475412860358
"36","no","no",0.812162226838696,0.187837773161304
"37","no","no",0.882700146287321,0.117299853712679
"38","no","no",0.849540682579246,0.150459317420754
"39","no","no",0.792445838735148,0.207554161264853
"40","no","no",0.873230803366025,0.126769196633974
"41","no","no",0.839475806520148,0.160524193479852
"42","no","no",0.824155104087984,0.175844895912016
"43","no","no",0.849526554842958,0.150473445157042
"44","no","no",0.81711731396907,0.18288268603093
"45","no","no",0.860476618321195,0.139523381678806
"46","no","no",0.797924866191282,0.202075133808718
"47","no","no",0.844840030717182,0.155159969282818
"48","no","no",0.809761037303612,0.190238962696388
"49","no","no",0.863276595401002,0.136723404598998
"50","no","no",0.854286463388405,0.145713536611596
"51","no","no",0.878694470485664,0.121305529514336
"52","no","no",0.817634208434255,0.182365791565745
"53","no","no",0.847869101129072,0.152130898870928
"54","no","no",0.830183761073798,0.169816238926202
"55","no","no",0.87122013651707,0.128779863482931
"56","no","no",0.886812857984408,0.113187142015592
"57","no","no",0.815007319653951,0.184992680346049
"58","no","no",0.623775314250433,0.376224685749567
"59","no","no",0.842650377556265,0.157349622443736
"60","no","no",0.861908433221416,0.138091566778585
"61","no","no",0.835558454726615,0.164441545273385
"62","no","no",0.894325080274864,0.105674919725137
"63","no","no",0.864126730621163,0.135873269378837
"64","no","no",0.859428376760422,0.140571623239578
"65","no","no",0.881683177895992,0.118316822104007
"66","no","no",0.846139150445063,0.153860849554937
"67","no","no",0.824466454952418,0.175533545047582
"68","no","no",0.879620837119973,0.120379162880027
"69","no","no",0.889462485031717,0.110537514968284
"70","no","no",0.897663386159099,0.102336613840902
"71","no","no",0.863234075506749,0.136765924493252
"72","no","no",0.835128559009302,0.164871440990698
"73","no","no",0.82645592703148,0.17354407296852
"74","no","no",0.7978802902182,0.2021197097818
"75","no","no",0.847408972501106,0.152591027498894
"76","no","no",0.872086892209489,0.127913107790512
"77","no","no",0.897077366162822,0.102922633837178
"78","no","no",0.869840932330871,0.130159067669129
"79","no","no",0.80605712490681,0.19394287509319
"80","no","no",0.894026268234904,0.105973731765096
"81","no","no",0.857960880824344,0.142039119175657
"82","no","no",0.856612454695048,0.143387545304952
"83","no","no",0.833247523251344,0.166752476748656
"84","no","no",0.862949468533837,0.137050531466163
"85","no","no",0.867293331108287,0.132706668891713
"86","no","no",0.893839060454221,0.10616093954578
"87","no","no",0.689621154701507,0.310378845298493
"88","no","no",0.878197270438572,0.121802729561428
"89","no","no",0.86404543943966,0.13595456056034
"90","no","no",0.787841472833702,0.212158527166298
"91","no","no",0.874669334391846,0.125330665608155
"92","no","no",0.848598479830973,0.151401520169026
"93","no","no",0.860324816880688,0.139675183119312
"94","no","no",0.892163227125796,0.107836772874203
"95","no","no",0.808380416160332,0.191619583839668
"96","no","no",0.780737677470427,0.219262322529573
"97","no","no",0.810341461235569,0.189658538764431
"98","no","no",0.869037127257007,0.130962872742993
"99","no","no",0.870158332994037,0.129841667005964
"100","no","no",0.89563795290359,0.10436204709641
"101","no","no",0.890229782573017,0.109770217426983
"102","no","no",0.812731252087096,0.187268747912904
"103","no","no",0.843307140441493,0.156692859558506
"104","no","no",0.80188250918986,0.19811749081014
"105","no","no",0.889490374861924,0.110509625138077
"106","no","no",0.830488801009063,0.169511198990937
"107","no","no",0.879517959805643,0.120482040194358
"108","no","no",0.826855061878387,0.173144938121613
"109","no","no",0.851924493328206,0.148075506671794
"110","no","no",0.858143226084239,0.141856773915761
"111","no","no",0.823841006225042,0.176158993774959
"112","no","no",0.833588549480099,0.166411450519902
"113","no","no",0.866449627084639,0.133550372915362
"114","no","no",0.832104769887298,0.167895230112703
"115","no","no",0.850296776494921,0.14970322350508
"116","no","no",0.861008068730874,0.138991931269126
"117","no","no",0.865465504519896,0.134534495480105
"118","no","no",0.841461151634567,0.158538848365434
"119","no","no",0.881184277672903,0.118815722327097
"120","yes","no",0.843853378688994,0.156146621311006
"121","no","no",0.851881050850717,0.148118949149284
"122","no","no",0.807207917002034,0.192792082997967
"123","no","no",0.905158116879566,0.0948418831204339
"124","no","no",0.842759133622904,0.157240866377096
"125","no","no",0.879830514069947,0.120169485930053
"126","no","no",0.863962953107073,0.136037046892928
"127","no","no",0.883141429855376,0.116858570144625
"128","no","no",0.847483441333653,0.152516558666348
"129","no","no",0.894670157242949,0.105329842757052
"130","no","no",0.874403157223387,0.125596842776613
"131","no","no",0.847394472055082,0.152605527944919
"132","no","no",0.873192862184312,0.126807137815688
"133","no","no",0.846620585772279,0.153379414227721
"134","no","no",0.7892682788506,0.2107317211494
"135","no","no",0.885041462256474,0.114958537743527
"136","no","no",0.896701699591017,0.103298300408984
"137","no","no",0.881405108652158,0.118594891347842
"138","no","no",0.831469599808215,0.168530400191785
"139","no","no",0.868333913336848,0.131666086663152
"140","no","no",0.754532196220999,0.245467803779001
"141","no","no",0.834734133883239,0.165265866116761
"142","no","no",0.781571086158547,0.218428913841453
"143","no","no",0.864125203779331,0.135874796220669
"144","no","no",0.894497512311094,0.105502487688907
"145","no","no",0.843822881897743,0.156177118102258
"146","no","no",0.875881328265713,0.124118671734288
"147","no","no",0.855666649963627,0.144333350036373
"148","no","no",0.870573298958071,0.129426701041929
"149","no","no",0.877044256788645,0.122955743211355
"150","no","no",0.868071786483324,0.131928213516676
"151","no","no",0.847483441333653,0.152516558666348
"152","no","no",0.89237060441831,0.10762939558169
"153","no","no",0.852406089649308,0.147593910350692
"154","no","no",0.900470398251662,0.0995296017483385
"155","no","no",0.826008045281286,0.173991954718715
"156","yes","no",0.830541963365248,0.169458036634753
"157","no","no",0.84119979021564,0.158800209784361
"158","no","no",0.842654433533054,0.157345566466947
"159","no","no",0.878706545913,0.121293454087001
"160","no","no",0.835661235741779,0.164338764258222
"161","no","no",0.873188495539007,0.126811504460994
"162","no","no",0.874484327285908,0.125515672714092
"163","no","no",0.833263591136002,0.166736408863999
"164","no","no",0.843230170203802,0.156769829796199
"165","no","no",0.852870326333557,0.147129673666443
"166","no","no",0.880171082702446,0.119828917297555
"167","no","no",0.880466953609704,0.119533046390296
"168","no","no",0.914514095052447,0.0854859049475535
"169","no","no",0.883955961559184,0.116044038440817
"170","no","no",0.896960219860825,0.103039780139176
"171","no","no",0.910954976012115,0.0890450239878844
"172","no","no",0.82992981425929,0.170070185740711
"173","no","no",0.873823706018748,0.126176293981252
"174","no","no",0.899240485970866,0.100759514029134
"175","no","no",0.87758107367327,0.122418926326731
"176","no","no",0.803486036375906,0.196513963624095
"177","no","no",0.826948068832571,0.17305193116743
"178","no","no",0.866016052507306,0.133983947492694
"179","no","no",0.882267006833818,0.117732993166182
"180","no","no",0.845444645429879,0.154555354570122
"181","no","no",0.882072845550535,0.117927154449465
"182","no","no",0.858226210924935,0.141773789075066
"183","no","no",0.854965012631916,0.145034987368085
"184","no","no",0.871734595698984,0.128265404301017
"185","no","no",0.865480027238167,0.134519972761834
"186","no","no",0.869284848003455,0.130715151996546
"187","no","no",0.82821164374508,0.171788356254921
"188","no","no",0.85154601689816,0.148453983101841
"189","no","no",0.813634526845124,0.186365473154877
"190","no","no",0.903855120187834,0.0961448798121666
"191","no","no",0.890046540611853,0.109953459388147
"192","no","no",0.85105619790304,0.14894380209696
"193","no","no",0.857774231416127,0.142225768583873
"194","no","no",0.832043044316784,0.167956955683217
"195","no","no",0.911191466696315,0.0888085333036858
"196","no","no",0.884267934202831,0.11573206579717
"197","no","no",0.879647871248455,0.120352128751545
"198","no","no",0.81953956852014,0.180460431479861
"199","no","no",0.848723865565099,0.151276134434901
"200","yes","no",0.805750408473351,0.194249591526649
"201","no","no",0.78830913728258,0.21169086271742
"202","no","no",0.847305844051069,0.152694155948932
"203","no","no",0.876074347170187,0.123925652829814
"204","no","no",0.817032306502222,0.182967693497779
"205","no","no",0.89809341379168,0.10190658620832
"206","no","no",0.847424786409311,0.15257521359069
"207","no","no",0.84186711864086,0.15813288135914
"208","no","no",0.886138853392704,0.113861146607296
"209","no","no",0.819168119389047,0.180831880610954
"210","no","no",0.85452152881265,0.145478471187351
"211","no","no",0.828803622952083,0.171196377047918
"212","no","no",0.871496930946002,0.128503069053998
"213","no","no",0.841195721708011,0.15880427829199
"214","no","no",0.855666649963627,0.144333350036373
"215","no","no",0.846314899406564,0.153685100593437
"216","no","no",0.864754017180645,0.135245982819357
"217","no","no",0.889226895455049,0.110773104544952
"218","no","no",0.833207903841976,0.166792096158025
"219","no","no",0.878561596133493,0.121438403866508
"220","no","no",0.85308837942582,0.14691162057418
"221","no","no",0.890986679043696,0.109013320956305
"222","no","no",0.89128233136821,0.108717668631791
"223","no","no",0.851752657879738,0.148247342120262
"224","no","no",0.862794730766052,0.137205269233949
"225","no","no",0.880866180034003,0.119133819965998
"226","no","no",0.83931542895143,0.160684571048571
"227","no","no",0.8701761893978,0.1298238106022
"228","no","no",0.833935274384896,0.166064725615105
"229","no","no",0.877065041084532,0.122934958915469
"230","no","no",0.911489528232823,0.0885104717671769
"231","no","no",0.881904384712542,0.118095615287459
"232","no","no",0.870610433023917,0.129389566976083
"233","no","no",0.860109833130337,0.139890166869663
"234","no","no",0.857835615143335,0.142164384856665
"235","no","no",0.866915019507706,0.133084980492295
"236","no","no",0.782429212430196,0.217570787569804
"237","no","no",0.832969030172356,0.167030969827645
"238","no","no",0.79593973992974,0.20406026007026
"239","no","no",0.788806459471057,0.211193540528943
"240","yes","no",0.796725705217845,0.203274294782155
"241","no","no",0.796725705217845,0.203274294782155
"242","no","no",0.846510663012671,0.15348933698733
"243","no","no",0.827236622454612,0.172763377545387
"244","no","no",0.819237175923098,0.180762824076903
"245","yes","no",0.848929573546961,0.151070426453039
"246","no","no",0.831989158258134,0.168010841741867
"247","no","no",0.866517246653052,0.133482753346948
"248","no","no",0.82259325603588,0.177406743964121
"249","no","no",0.867901882624698,0.132098117375303
"250","no","no",0.81583951724752,0.18416048275248
"251","no","no",0.854879579099809,0.145120420900191
"252","no","no",0.813886205906222,0.186113794093779
"253","no","no",0.797444921585721,0.20255507841428
"254","no","no",0.897931050926586,0.102068949073414
"255","no","no",0.814565909150285,0.185434090849715
"256","no","no",0.876327864268142,0.123672135731858
"257","no","no",0.828831056332714,0.171168943667287
"258","no","no",0.850706611356477,0.149293388643524
"259","no","no",0.873093058262868,0.126906941737133
"260","no","no",0.85772610551866,0.14227389448134
"261","no","no",0.720636668577492,0.279363331422509
"262","no","no",0.832104465436611,0.167895534563389
"263","no","no",0.87562219419002,0.124377805809981
"264","no","no",0.897044153490019,0.102955846509982
